batsman,match_date,match_type,runs_batsman,balls_faced,boundary_4,boundary_6,strike_rate,batting_points
RG Sharma,2007-06-26,ODI,8,9,0,0,88.88888888888889,8
RG Sharma,2007-09-20,T20,50,41,7,2,121.95121951219512,69
RG Sharma,2007-09-22,T20,8,5,0,1,160.0,10
RG Sharma,2007-09-24,T20,30,16,2,1,187.5,34
RG Sharma,2007-10-05,ODI,1,4,0,0,25.0,1
RG Sharma,2007-11-18,ODI,52,62,3,1,83.87096774193549,61
RG Sharma,2008-02-01,T20,8,8,1,0,100.0,9
RG Sharma,2008-02-10,ODI,39,62,2,0,62.903225806451616,41
RG Sharma,2008-02-17,ODI,1,3,0,0,33.33333333333333,1
RG Sharma,2008-02-19,ODI,24,36,1,0,66.66666666666666,25
RG Sharma,2008-02-24,ODI,1,3,0,0,33.33333333333333,1
RG Sharma,2008-02-26,ODI,3,7,0,0,42.857142857142854,3
RG Sharma,2008-03-02,ODI,66,87,6,0,75.86206896551724,76
RG Sharma,2008-03-04,ODI,2,5,0,0,40.0,2
RG Sharma,2008-04-20,T20,0,3,0,0,0.0,0
RG Sharma,2008-04-22,T20,66,37,6,4,178.3783783783784,88
RG Sharma,2008-04-24,T20,36,30,3,1,120.0,41
RG Sharma,2008-05-01,T20,76,42,10,2,180.95238095238096,98
RG Sharma,2008-05-03,T20,57,43,5,3,132.5581395348837,76
RG Sharma,2008-05-06,T20,23,17,2,1,135.29411764705884,27
RG Sharma,2008-05-09,T20,5,8,0,0,62.5,5
RG Sharma,2008-05-11,T20,33,24,3,2,137.5,40
RG Sharma,2008-05-15,T20,35,18,3,2,194.44444444444443,42
RG Sharma,2008-05-18,T20,6,10,1,0,60.0,5
RG Sharma,2008-05-23,T20,50,27,3,4,185.1851851851852,69
RG Sharma,2008-05-25,T20,17,17,2,0,100.0,19
RG Sharma,2008-06-10,ODI,9,27,0,0,33.33333333333333,3
RG Sharma,2008-06-12,ODI,26,44,1,1,59.09090909090909,27
RG Sharma,2008-06-14,ODI,24,28,5,0,85.71428571428571,29
RG Sharma,2008-06-25,ODI,11,29,0,0,37.93103448275862,5
RG Sharma,2008-06-26,ODI,0,1,0,0,0.0,0
RG Sharma,2008-06-28,ODI,22,23,3,0,95.65217391304348,25
RG Sharma,2008-07-02,ODI,58,72,4,0,80.55555555555556,66
RG Sharma,2008-07-03,ODI,22,29,2,0,75.86206896551724,24
RG Sharma,2008-07-06,ODI,3,8,0,0,37.5,3
RG Sharma,2008-08-18,ODI,19,31,1,1,61.29032258064516,22
RG Sharma,2008-08-20,ODI,0,2,0,0,0.0,0
RG Sharma,2008-08-24,ODI,32,32,3,0,100.0,35
RG Sharma,2008-08-27,ODI,18,23,0,0,78.26086956521739,18
RG Sharma,2008-08-29,ODI,3,5,0,0,60.0,3
RG Sharma,2008-11-14,ODI,11,8,1,0,137.5,12
RG Sharma,2008-11-17,ODI,3,13,0,0,23.076923076923077,-3
RG Sharma,2008-11-20,ODI,28,41,3,0,68.29268292682927,31
RG Sharma,2008-11-26,ODI,8,10,1,0,80.0,9
RG Sharma,2009-01-28,ODI,25,30,3,0,83.33333333333334,28
RG Sharma,2009-02-05,ODI,4,6,0,0,66.66666666666666,4
RG Sharma,2009-02-08,ODI,15,22,1,0,68.18181818181817,16
RG Sharma,2009-02-10,T20,4,12,0,0,33.33333333333333,-2
RG Sharma,2009-02-25,T20,7,7,0,1,100.0,9
RG Sharma,2009-03-14,ODI,43,74,1,1,58.108108108108105,44
RG Sharma,2009-04-19,T20,36,32,3,2,112.5,43
RG Sharma,2009-04-22,T20,52,31,1,5,167.74193548387098,71
RG Sharma,2009-04-25,T20,3,5,0,0,60.0,3
RG Sharma,2009-04-27,T20,18,20,0,1,90.0,20
RG Sharma,2009-04-30,T20,17,20,2,0,85.0,19
RG Sharma,2009-05-02,T20,38,34,2,2,111.76470588235294,44
RG Sharma,2009-05-04,T20,21,20,2,1,105.0,25
RG Sharma,2009-05-06,T20,38,36,2,1,105.55555555555556,42
RG Sharma,2009-05-09,T20,9,15,1,0,60.0,8
RG Sharma,2009-05-11,T20,9,14,0,0,64.28571428571429,7
RG Sharma,2009-05-13,T20,6,7,1,0,85.71428571428571,7
RG Sharma,2009-05-16,T20,32,14,3,2,228.57142857142856,39
RG Sharma,2009-05-17,T20,42,27,3,3,155.55555555555557,51
RG Sharma,2009-05-21,T20,12,12,1,0,100.0,13
RG Sharma,2009-05-22,T20,5,12,0,0,41.66666666666667,-1
RG Sharma,2009-05-24,T20,24,24,1,1,100.0,27
RG Sharma,2009-06-06,T20,36,23,3,2,156.52173913043478,43
RG Sharma,2009-06-10,T20,52,45,4,1,115.55555555555554,66
RG Sharma,2009-06-12,T20,5,3,1,0,166.66666666666669,6
RG Sharma,2009-06-14,T20,9,10,1,0,90.0,10
RG Sharma,2009-06-16,T20,29,28,3,0,103.57142857142858,32
RG Sharma,2009-06-26,ODI,4,12,0,0,33.33333333333333,-2
RG Sharma,2009-06-28,ODI,0,3,0,0,0.0,0
RG Sharma,2009-07-03,ODI,11,9,0,0,122.22222222222223,11
RG Sharma,2009-12-09,T20,3,5,0,0,60.0,3
